group: algebra

Paciente = {
	CPF_Paciente:string, email:string, nome:string, endereco_UF:string, endereco_rua:string, endereco_bairro:string, endereco_CEP:string, endereco_numero:string, endereco_cidade:string
"10000020042", "user1042@example.com", "Paciente_43", "BA", "Rua Aleatória", "Bairro", "45000042", "160", "Vitória da Conquista"
"10000020043", "user1043@example.com", "Paciente_44", "BA", "Rua Aleatória", "Bairro", "45000043", "221", "Vitória da Conquista"
"10000020044", "user1044@example.com", "Paciente_45", "BA", "Rua Aleatória", "Bairro", "45000044", "981", "Vitória da Conquista"
"10000020045", "user1045@example.com", "Paciente_46", "BA", "Rua Aleatória", "Bairro", "45000045", "782", "Vitória da Conquista"
"10000020046", "user1046@example.com", "Paciente_47", "BA", "Rua Aleatória", "Bairro", "45000046", "345", "Vitória da Conquista"
"10000020047", "user1047@example.com", "Paciente_48", "BA", "Rua Aleatória", "Bairro", "45000047", "105", "Vitória da Conquista"
"10000020048", "user1048@example.com", "Paciente_49", "BA", "Rua Aleatória", "Bairro", "45000048", "95", "Vitória da Conquista"
"10000020049", "user1049@example.com", "Paciente_50", "BA", "Rua Aleatória", "Bairro", "45000049", "390", "Vitória da Conquista"
"10000020050", "user1050@example.com", "Paciente_51", "BA", "Rua Aleatória", "Bairro", "45000050", "100", "Vitória da Conquista"
"10000020051", "user1051@example.com", "Paciente_52", "BA", "Rua Aleatória", "Bairro", "45000051", "368", "Vitória da Conquista"
"10000020052", "user1052@example.com", "Paciente_53", "BA", "Rua Aleatória", "Bairro", "45000052", "868", "Vitória da Conquista"
"10000020053", "user1053@example.com", "Paciente_54", "BA", "Rua Aleatória", "Bairro", "45000053", "353", "Vitória da Conquista"
"10000020054", "user1054@example.com", "Paciente_55", "BA", "Rua Aleatória", "Bairro", "45000054", "619", "Vitória da Conquista"
"10000020055", "user1055@example.com", "Paciente_56", "BA", "Rua Aleatória", "Bairro", "45000055", "271", "Vitória da Conquista"
"10000020056", "user1056@example.com", "Paciente_57", "BA", "Rua Aleatória", "Bairro", "45000056", "827", "Vitória da Conquista"
"10000020057", "user1057@example.com", "Paciente_58", "BA", "Rua Aleatória", "Bairro", "45000057", "45", "Vitória da Conquista"
"10000020058", "user1058@example.com", "Paciente_59", "BA", "Rua Aleatória", "Bairro", "45000058", "748", "Vitória da Conquista"
"10000020059", "user1059@example.com", "Paciente_60", "BA", "Rua Aleatória", "Bairro", "45000059", "471", "Vitória da Conquista"
"10000020060", "user1060@example.com", "Paciente_61", "BA", "Rua Aleatória", "Bairro", "45000060", "550", "Vitória da Conquista"
"10000020061", "user1061@example.com", "Paciente_62", "BA", "Rua Aleatória", "Bairro", "45000061", "128", "Vitória da Conquista"
"10000020062", "user1062@example.com", "Paciente_63", "BA", "Rua Aleatória", "Bairro", "45000062", "997", "Vitória da Conquista"
"10000020063", "user1063@example.com", "Paciente_64", "BA", "Rua Aleatória", "Bairro", "45000063", "945", "Vitória da Conquista"
"10000020064", "user1064@example.com", "Paciente_65", "BA", "Rua Aleatória", "Bairro", "45000064", "388", "Vitória da Conquista"
"10000020065", "user1065@example.com", "Paciente_66", "BA", "Rua Aleatória", "Bairro", "45000065", "81", "Vitória da Conquista"
"10000020066", "user1066@example.com", "Paciente_67", "BA", "Rua Aleatória", "Bairro", "45000066", "566", "Vitória da Conquista"
"10000020067", "user1067@example.com", "Paciente_68", "BA", "Rua Aleatória", "Bairro", "45000067", "301", "Vitória da Conquista"
"10000020068", "user1068@example.com", "Paciente_69", "BA", "Rua Aleatória", "Bairro", "45000068", "850", "Vitória da Conquista"
"10000020069", "user1069@example.com", "Paciente_70", "BA", "Rua Aleatória", "Bairro", "45000069", "644", "Vitória da Conquista"
"10000020070", "user1070@example.com", "Paciente_71", "BA", "Rua Aleatória", "Bairro", "45000070", "634", "Vitória da Conquista"
"10000020071", "user1071@example.com", "Paciente_72", "BA", "Rua Aleatória", "Bairro", "45000071", "907", "Vitória da Conquista"
"10000020072", "user1072@example.com", "Paciente_73", "BA", "Rua Aleatória", "Bairro", "45000072", "883", "Vitória da Conquista"
"10000020073", "user1073@example.com", "Paciente_74", "BA", "Rua Aleatória", "Bairro", "45000073", "371", "Vitória da Conquista"
"10000020074", "user1074@example.com", "Paciente_75", "BA", "Rua Aleatória", "Bairro", "45000074", "592", "Vitória da Conquista"
"10000020075", "user1075@example.com", "Paciente_76", "BA", "Rua Aleatória", "Bairro", "45000075", "197", "Vitória da Conquista"
"10000020076", "user1076@example.com", "Paciente_77", "BA", "Rua Aleatória", "Bairro", "45000076", "722", "Vitória da Conquista"
"10000020077", "user1077@example.com", "Paciente_78", "BA", "Rua Aleatória", "Bairro", "45000077", "72", "Vitória da Conquista"
"10000020078", "user1078@example.com", "Paciente_79", "BA", "Rua Aleatória", "Bairro", "45000078", "47", "Vitória da Conquista"
"10000020079", "user1079@example.com", "Paciente_80", "BA", "Rua Aleatória", "Bairro", "45000079", "678", "Vitória da Conquista"
"10000020080", "user1080@example.com", "Paciente_81", "BA", "Rua Aleatória", "Bairro", "45000080", "234", "Vitória da Conquista"
"10000020081", "user1081@example.com", "Paciente_82", "BA", "Rua Aleatória", "Bairro", "45000081", "792", "Vitória da Conquista"
"10000020082", "user1082@example.com", "Paciente_83", "BA", "Rua Aleatória", "Bairro", "45000082", "297", "Vitória da Conquista"
"10000020083", "user1083@example.com", "Paciente_84", "BA", "Rua Aleatória", "Bairro", "45000083", "82", "Vitória da Conquista"
"10000020084", "user1084@example.com", "Paciente_85", "BA", "Rua Aleatória", "Bairro", "45000084", "876", "Vitória da Conquista"
"10000020085", "user1085@example.com", "Paciente_86", "BA", "Rua Aleatória", "Bairro", "45000085", "239", "Vitória da Conquista"
"10000020086", "user1086@example.com", "Paciente_87", "BA", "Rua Aleatória", "Bairro", "45000086", "888", "Vitória da Conquista"
"10000020087", "user1087@example.com", "Paciente_88", "BA", "Rua Aleatória", "Bairro", "45000087", "104", "Vitória da Conquista"
"10000020088", "user1088@example.com", "Paciente_89", "BA", "Rua Aleatória", "Bairro", "45000088", "390", "Vitória da Conquista"
"10000020089", "user1089@example.com", "Paciente_90", "BA", "Rua Aleatória", "Bairro", "45000089", "285", "Vitória da Conquista"
"10000020090", "user1090@example.com", "Paciente_91", "BA", "Rua Aleatória", "Bairro", "45000090", "465", "Vitória da Conquista"
"10000020091", "user1091@example.com", "Paciente_92", "BA", "Rua Aleatória", "Bairro", "45000091", "651", "Vitória da Conquista"
"10000020092", "user1092@example.com", "Paciente_93", "BA", "Rua Aleatória", "Bairro", "45000092", "855", "Vitória da Conquista"
"10000020093", "user1093@example.com", "Paciente_94", "BA", "Rua Aleatória", "Bairro", "45000093", "374", "Vitória da Conquista"
"10000020094", "user1094@example.com", "Paciente_95", "BA", "Rua Aleatória", "Bairro", "45000094", "167", "Vitória da Conquista"
"10000020095", "user1095@example.com", "Paciente_96", "BA", "Rua Aleatória", "Bairro", "45000095", "380", "Vitória da Conquista"
"10000020096", "user1096@example.com", "Paciente_97", "BA", "Rua Aleatória", "Bairro", "45000096", "364", "Vitória da Conquista"
"10000020097", "user1097@example.com", "Paciente_98", "BA", "Rua Aleatória", "Bairro", "45000097", "215", "Vitória da Conquista"
"10000020098", "user1098@example.com", "Paciente_99", "BA", "Rua Aleatória", "Bairro", "45000098", "687", "Vitória da Conquista"
"10000020099", "user1099@example.com", "Paciente_100", "BA", "Rua Aleatória", "Bairro", "45000099", "274", "Vitória da Conquista"
"10000020100", "user1100@example.com", "Paciente_101", "BA", "Rua Aleatória", "Bairro", "45000100", "719", "Vitória da Conquista"
"10000020101", "user1101@example.com", "Paciente_102", "BA", "Rua Aleatória", "Bairro", "45000101", "960", "Vitória da Conquista"
"10000020102", "user1102@example.com", "Paciente_103", "BA", "Rua Aleatória", "Bairro", "45000102", "700", "Vitória da Conquista"
"10000020103", "user1103@example.com", "Paciente_104", "BA", "Rua Aleatória", "Bairro", "45000103", "664", "Vitória da Conquista"
"10000020104", "user1104@example.com", "Paciente_105", "BA", "Rua Aleatória", "Bairro", "45000104", "74", "Vitória da Conquista"
"10000020105", "user1105@example.com", "Paciente_106", "BA", "Rua Aleatória", "Bairro", "45000105", "624", "Vitória da Conquista"
"10000020106", "user1106@example.com", "Paciente_107", "BA", "Rua Aleatória", "Bairro", "45000106", "651", "Vitória da Conquista"
"10000020107", "user1107@example.com", "Paciente_108", "BA", "Rua Aleatória", "Bairro", "45000107", "176", "Vitória da Conquista"
"10000020108", "user1108@example.com", "Paciente_109", "BA", "Rua Aleatória", "Bairro", "45000108", "547", "Vitória da Conquista"
"10000020109", "user1109@example.com", "Paciente_110", "BA", "Rua Aleatória", "Bairro", "45000109", "747", "Vitória da Conquista"
"10000020110", "user1110@example.com", "Paciente_111", "BA", "Rua Aleatória", "Bairro", "45000110", "251", "Vitória da Conquista"
"10000020111", "user1111@example.com", "Paciente_112", "BA", "Rua Aleatória", "Bairro", "45000111", "168", "Vitória da Conquista"
"10000020112", "user1112@example.com", "Paciente_113", "BA", "Rua Aleatória", "Bairro", "45000112", "474", "Vitória da Conquista"
"10000020113", "user1113@example.com", "Paciente_114", "BA", "Rua Aleatória", "Bairro", "45000113", "389", "Vitória da Conquista"
"10000020114", "user1114@example.com", "Paciente_115", "BA", "Rua Aleatória", "Bairro", "45000114", "277", "Vitória da Conquista"
"10000020115", "user1115@example.com", "Paciente_116", "BA", "Rua Aleatória", "Bairro", "45000115", "948", "Vitória da Conquista"
"10000020116", "user1116@example.com", "Paciente_117", "BA", "Rua Aleatória", "Bairro", "45000116", "656", "Vitória da Conquista"
"10000020117", "user1117@example.com", "Paciente_118", "BA", "Rua Aleatória", "Bairro", "45000117", "705", "Vitória da Conquista"
"10000020118", "user1118@example.com", "Paciente_119", "BA", "Rua Aleatória", "Bairro", "45000118", "571", "Vitória da Conquista"
"10000020119", "user1119@example.com", "Paciente_120", "BA", "Rua Aleatória", "Bairro", "45000119", "225", "Vitória da Conquista"
"10000020120", "user1120@example.com", "Paciente_121", "BA", "Rua Aleatória", "Bairro", "45000120", "702", "Vitória da Conquista"
"10000020121", "user1121@example.com", "Paciente_122", "BA", "Rua Aleatória", "Bairro", "45000121", "333", "Vitória da Conquista"
"10000020122", "user1122@example.com", "Paciente_123", "BA", "Rua Aleatória", "Bairro", "45000122", "864", "Vitória da Conquista"
"10000020123", "user1123@example.com", "Paciente_124", "BA", "Rua Aleatória", "Bairro", "45000123", "787", "Vitória da Conquista"
"10000020124", "user1124@example.com", "Paciente_125", "BA", "Rua Aleatória", "Bairro", "45000124", "795", "Vitória da Conquista"
"10000020125", "user1125@example.com", "Paciente_126", "BA", "Rua Aleatória", "Bairro", "45000125", "58", "Vitória da Conquista"
"10000020126", "user1126@example.com", "Paciente_127", "BA", "Rua Aleatória", "Bairro", "45000126", "235", "Vitória da Conquista"
"10000020127", "user1127@example.com", "Paciente_128", "BA", "Rua Aleatória", "Bairro", "45000127", "842", "Vitória da Conquista"
"10000020128", "user1128@example.com", "Paciente_129", "BA", "Rua Aleatória", "Bairro", "45000128", "33", "Vitória da Conquista"
"10000020129", "user1129@example.com", "Paciente_130", "BA", "Rua Aleatória", "Bairro", "45000129", "825", "Vitória da Conquista"
"10000020130", "user1130@example.com", "Paciente_131", "BA", "Rua Aleatória", "Bairro", "45000130", "324", "Vitória da Conquista"
"10000020131", "user1131@example.com", "Paciente_132", "BA", "Rua Aleatória", "Bairro", "45000131", "411", "Vitória da Conquista"
"10000020132", "user1132@example.com", "Paciente_133", "BA", "Rua Aleatória", "Bairro", "45000132", "275", "Vitória da Conquista"
"10000020133", "user1133@example.com", "Paciente_134", "BA", "Rua Aleatória", "Bairro", "45000133", "68", "Vitória da Conquista"
"10000020134", "user1134@example.com", "Paciente_135", "BA", "Rua Aleatória", "Bairro", "45000134", "217", "Vitória da Conquista"
"10000020135", "user1135@example.com", "Paciente_136", "BA", "Rua Aleatória", "Bairro", "45000135", "936", "Vitória da Conquista"
"10000020136", "user1136@example.com", "Paciente_137", "BA", "Rua Aleatória", "Bairro", "45000136", "966", "Vitória da Conquista"
"10000020137", "user1137@example.com", "Paciente_138", "BA", "Rua Aleatória", "Bairro", "45000137", "581", "Vitória da Conquista"
"10000020138", "user1138@example.com", "Paciente_139", "BA", "Rua Aleatória", "Bairro", "45000138", "898", "Vitória da Conquista"
"10000020139", "user1139@example.com", "Paciente_140", "BA", "Rua Aleatória", "Bairro", "45000139", "736", "Vitória da Conquista"
"10000020140", "user1140@example.com", "Paciente_141", "BA", "Rua Aleatória", "Bairro", "45000140", "323", "Vitória da Conquista"
"10000020141", "user1141@example.com", "Paciente_142", "BA", "Rua Aleatória", "Bairro", "45000141", "218", "Vitória da Conquista"
"10000020142", "user1142@example.com", "Paciente_143", "BA", "Rua Aleatória", "Bairro", "45000142", "672", "Vitória da Conquista"
"10000020143", "user1143@example.com", "Paciente_144", "BA", "Rua Aleatória", "Bairro", "45000143", "512", "Vitória da Conquista"
"10000020144", "user1144@example.com", "Paciente_145", "BA", "Rua Aleatória", "Bairro", "45000144", "406", "Vitória da Conquista"
"10000020145", "user1145@example.com", "Paciente_146", "BA", "Rua Aleatória", "Bairro", "45000145", "906", "Vitória da Conquista"
"10000020146", "user1146@example.com", "Paciente_147", "BA", "Rua Aleatória", "Bairro", "45000146", "937", "Vitória da Conquista"
"10000020147", "user1147@example.com", "Paciente_148", "BA", "Rua Aleatória", "Bairro", "45000147", "659", "Vitória da Conquista"
"10000020148", "user1148@example.com", "Paciente_149", "BA", "Rua Aleatória", "Bairro", "45000148", "470", "Vitória da Conquista"
"10000020149", "user1149@example.com", "Paciente_150", "BA", "Rua Aleatória", "Bairro", "45000149", "147", "Vitória da Conquista"
"10000020150", "user1150@example.com", "Paciente_151", "BA", "Rua Aleatória", "Bairro", "45000150", "272", "Vitória da Conquista"
"10000020151", "user1151@example.com", "Paciente_152", "BA", "Rua Aleatória", "Bairro", "45000151", "143", "Vitória da Conquista"
"10000020152", "user1152@example.com", "Paciente_153", "BA", "Rua Aleatória", "Bairro", "45000152", "253", "Vitória da Conquista"
"10000020153", "user1153@example.com", "Paciente_154", "BA", "Rua Aleatória", "Bairro", "45000153", "763", "Vitória da Conquista"
"10000020154", "user1154@example.com", "Paciente_155", "BA", "Rua Aleatória", "Bairro", "45000154", "575", "Vitória da Conquista"
"10000020155", "user1155@example.com", "Paciente_156", "BA", "Rua Aleatória", "Bairro", "45000155", "552", "Vitória da Conquista"
"10000020156", "user1156@example.com", "Paciente_157", "BA", "Rua Aleatória", "Bairro", "45000156", "270", "Vitória da Conquista"
"10000020157", "user1157@example.com", "Paciente_158", "BA", "Rua Aleatória", "Bairro", "45000157", "765", "Vitória da Conquista"
"10000020158", "user1158@example.com", "Paciente_159", "BA", "Rua Aleatória", "Bairro", "45000158", "599", "Vitória da Conquista"
"10000020159", "user1159@example.com", "Paciente_160", "BA", "Rua Aleatória", "Bairro", "45000159", "439", "Vitória da Conquista"
"10000020160", "user1160@example.com", "Paciente_161", "BA", "Rua Aleatória", "Bairro", "45000160", "920", "Vitória da Conquista"
"10000020161", "user1161@example.com", "Paciente_162", "BA", "Rua Aleatória", "Bairro", "45000161", "598", "Vitória da Conquista"
"10000020162", "user1162@example.com", "Paciente_163", "BA", "Rua Aleatória", "Bairro", "45000162", "409", "Vitória da Conquista"
"10000020163", "user1163@example.com", "Paciente_164", "BA", "Rua Aleatória", "Bairro", "45000163", "371", "Vitória da Conquista"
"10000020164", "user1164@example.com", "Paciente_165", "BA", "Rua Aleatória", "Bairro", "45000164", "225", "Vitória da Conquista"
"10000020165", "user1165@example.com", "Paciente_166", "BA", "Rua Aleatória", "Bairro", "45000165", "142", "Vitória da Conquista"
"10000020166", "user1166@example.com", "Paciente_167", "BA", "Rua Aleatória", "Bairro", "45000166", "522", "Vitória da Conquista"
"10000020167", "user1167@example.com", "Paciente_168", "BA", "Rua Aleatória", "Bairro", "45000167", "506", "Vitória da Conquista"
"10000020168", "user1168@example.com", "Paciente_169", "BA", "Rua Aleatória", "Bairro", "45000168", "94", "Vitória da Conquista"
"10000020169", "user1169@example.com", "Paciente_170", "BA", "Rua Aleatória", "Bairro", "45000169", "774", "Vitória da Conquista"
"10000020170", "user1170@example.com", "Paciente_171", "BA", "Rua Aleatória", "Bairro", "45000170", "49", "Vitória da Conquista"
"10000020171", "user1171@example.com", "Paciente_172", "BA", "Rua Aleatória", "Bairro", "45000171", "882", "Vitória da Conquista"
"10000020172", "user1172@example.com", "Paciente_173", "BA", "Rua Aleatória", "Bairro", "45000172", "113", "Vitória da Conquista"
"10000020173", "user1173@example.com", "Paciente_174", "BA", "Rua Aleatória", "Bairro", "45000173", "157", "Vitória da Conquista"
"10000020174", "user1174@example.com", "Paciente_175", "BA", "Rua Aleatória", "Bairro", "45000174", "643", "Vitória da Conquista"
"10000020175", "user1175@example.com", "Paciente_176", "BA", "Rua Aleatória", "Bairro", "45000175", "164", "Vitória da Conquista"
"10000020176", "user1176@example.com", "Paciente_177", "BA", "Rua Aleatória", "Bairro", "45000176", "812", "Vitória da Conquista"
"10000020177", "user1177@example.com", "Paciente_178", "BA", "Rua Aleatória", "Bairro", "45000177", "697", "Vitória da Conquista"
"10000020178", "user1178@example.com", "Paciente_179", "BA", "Rua Aleatória", "Bairro", "45000178", "433", "Vitória da Conquista"
"10000020179", "user1179@example.com", "Paciente_180", "BA", "Rua Aleatória", "Bairro", "45000179", "611", "Vitória da Conquista"
"10000020180", "user1180@example.com", "Paciente_181", "BA", "Rua Aleatória", "Bairro", "45000180", "66", "Vitória da Conquista"
"10000020181", "user1181@example.com", "Paciente_182", "BA", "Rua Aleatória", "Bairro", "45000181", "395", "Vitória da Conquista"
"10000020182", "user1182@example.com", "Paciente_183", "BA", "Rua Aleatória", "Bairro", "45000182", "391", "Vitória da Conquista"
"10000020183", "user1183@example.com", "Paciente_184", "BA", "Rua Aleatória", "Bairro", "45000183", "611", "Vitória da Conquista"
"10000020184", "user1184@example.com", "Paciente_185", "BA", "Rua Aleatória", "Bairro", "45000184", "480", "Vitória da Conquista"
"10000020185", "user1185@example.com", "Paciente_186", "BA", "Rua Aleatória", "Bairro", "45000185", "542", "Vitória da Conquista"
"10000020186", "user1186@example.com", "Paciente_187", "BA", "Rua Aleatória", "Bairro", "45000186", "258", "Vitória da Conquista"
"10000020187", "user1187@example.com", "Paciente_188", "BA", "Rua Aleatória", "Bairro", "45000187", "995", "Vitória da Conquista"
"10000020188", "user1188@example.com", "Paciente_189", "BA", "Rua Aleatória", "Bairro", "45000188", "567", "Vitória da Conquista"
"10000020189", "user1189@example.com", "Paciente_190", "BA", "Rua Aleatória", "Bairro", "45000189", "882", "Vitória da Conquista"
"10000020190", "user1190@example.com", "Paciente_191", "BA", "Rua Aleatória", "Bairro", "45000190", "966", "Vitória da Conquista"
"10000020191", "user1191@example.com", "Paciente_192", "BA", "Rua Aleatória", "Bairro", "45000191", "12", "Vitória da Conquista"
"10000020192", "user1192@example.com", "Paciente_193", "BA", "Rua Aleatória", "Bairro", "45000192", "697", "Vitória da Conquista"
"10000020193", "user1193@example.com", "Paciente_194", "BA", "Rua Aleatória", "Bairro", "45000193", "739", "Vitória da Conquista"
"10000020194", "user1194@example.com", "Paciente_195", "BA", "Rua Aleatória", "Bairro", "45000194", "118", "Vitória da Conquista"
"10000020195", "user1195@example.com", "Paciente_196", "BA", "Rua Aleatória", "Bairro", "45000195", "699", "Vitória da Conquista"
}

Telefone_paciente = {
	CPF_Paciente:string, telefone:string
"10000010001", "(77)98797-5371"
"10000010002", "(77)95573-2827"
"10000010003", "(77)94808-8123"
"10000010004", "(77)92591-8433"
"10000020000", "(77)90053-5315"
"10000020001", "(77)98201-3927"
"10000020002", "(77)98317-2743"
"10000020003", "(77)94889-9317"
"10000020004", "(77)99977-4258"
"10000020005", "(77)92504-7126"
"10000020006", "(77)92646-9837"
"10000020007", "(77)98689-1009"
"10000020008", "(77)99813-6310"
"10000020009", "(77)98005-1319"
"10000020010", "(77)91832-6947"
"10000020011", "(77)95038-4923"
"10000020012", "(77)90949-4946"
"10000020013", "(77)99295-2290"
"10000020014", "(77)91403-8962"
"10000020015", "(77)91133-9727"
"10000020016", "(77)92060-3103"
"10000020017", "(77)97787-3705"
"10000020018", "(77)94342-9645"
"10000020019", "(77)99938-7932"
"10000020020", "(77)93470-9835"
"10000020021", "(77)93295-6107"
"10000020022", "(77)96537-7118"
"10000020023", "(77)97177-9479"
"10000020024", "(77)97397-2982"
"10000020025", "(77)94061-4681"
"10000020026", "(77)91049-6539"
"10000020027", "(77)90344-4770"
"10000020028", "(77)99641-4608"
"10000020029", "(77)90117-2163"
"10000020030", "(77)90964-4750"
"10000020031", "(77)91104-1514"
"10000020032", "(77)95413-2160"
"10000020033", "(77)98423-4899"
"10000020034", "(77)94562-8953"
"10000020035", "(77)93510-9834"
"10000020036", "(77)92167-8744"
"10000020037", "(77)93981-8749"
"10000020038", "(77)96669-4119"
"10000020039", "(77)91545-2588"
"10000020040", "(77)97062-6804"
"10000020041", "(77)96939-7735"
"10000020042", "(77)97651-1887"
"10000020043", "(77)91612-1993"
"10000020044", "(77)96596-6559"
"10000020045", "(77)91790-5073"
"10000020046", "(77)93139-4116"
"10000020047", "(77)98786-8350"
"10000020048", "(77)92296-7912"
"10000020049", "(77)93006-5563"
"10000020050", "(77)97579-5092"
"10000020051", "(77)91235-8260"
"10000020052", "(77)99016-2604"
"10000020053", "(77)90828-9856"
"10000020054", "(77)90241-2528"
"10000020055", "(77)93872-3724"
"10000020056", "(77)96658-8956"
"10000020057", "(77)97886-4502"
"10000020058", "(77)96570-1960"
"10000020059", "(77)92697-7209"
"10000020060", "(77)90035-7396"
"10000020061", "(77)94345-8454"
"10000020062", "(77)94673-7930"
"10000020063", "(77)99105-8973"
