group: algebra

Paciente = {
	CPF_Paciente:string, email:string, nome:string, endereco_UF:string, endereco_lagradouro:string, endereco_bairro:string, endereco_CEP:string, endereco_numero:string, endereco_cidade:string
"10000020070",  "jose.costa@example.com",  "Jose Costa", "BA", "Rua Aleatoria", "Bairro", "45000070", "634", "Vitoria da Conquista"
"10000020071",  "andre.gomes@example.com",  "Andre Gomes", "BA", "Rua Aleatoria", "Bairro", "45000071", "907", "Vitoria da Conquista"
"10000020072",  "andre.ferreira@example.com",  "Andre Ferreira", "BA", "Rua Aleatoria", "Bairro", "45000072", "883", "Vitoria da Conquista"
"10000020073",  "bruna.pereira@example.com",  "Bruna Pereira", "BA", "Rua Aleatoria", "Bairro", "45000073", "371", "Vitoria da Conquista"
"10000020074",  "renata.gomes@example.com",  "Renata Gomes", "BA", "Rua Aleatoria", "Bairro", "45000074", "592", "Vitoria da Conquista"
"10000020075",  "bruno.moura@example.com",  "Bruno Moura", "BA", "Rua Aleatoria", "Bairro", "45000075", "197", "Vitoria da Conquista"
"10000020076",  "felipe.ferreira@example.com",  "Felipe Ferreira", "BA", "Rua Aleatoria", "Bairro", "45000076", "722", "Vitoria da Conquista"
"10000020077",  "camila.mendes@example.com",  "Camila Mendes", "BA", "Rua Aleatoria", "Bairro", "45000077", "72", "Vitoria da Conquista"
"10000020078",  "rafael.rocha@example.com",  "Rafael Rocha", "BA", "Rua Aleatoria", "Bairro", "45000078", "47", "Vitoria da Conquista"
"10000020079",  "mariana.carvalho@example.com",  "Mariana Carvalho", "BA", "Rua Aleatoria", "Bairro", "45000079", "678", "Vitoria da Conquista"
"10000020080",  "carlos.pereira@example.com",  "Carlos Pereira", "BA", "Rua Aleatoria", "Bairro", "45000080", "234", "Vitoria da Conquista"
"10000020081",  "felipe.souza@example.com",  "Felipe Souza", "BA", "Rua Aleatoria", "Bairro", "45000081", "792", "Vitoria da Conquista"
"10000020082",  "marcio.pinto@example.com",  "Marcio Pinto", "BA", "Rua Aleatoria", "Bairro", "45000082", "297", "Vitoria da Conquista"
"10000020083",  "ana.rocha@example.com",  "Ana Rocha", "BA", "Rua Aleatoria", "Bairro", "45000083", "82", "Vitoria da Conquista"
"10000020084",  "joao.costa@example.com",  "Joao Costa", "BA", "Rua Aleatoria", "Bairro", "45000084", "876", "Vitoria da Conquista"
"10000020085",  "paula.gomes@example.com",  "Paula Gomes", "BA", "Rua Aleatoria", "Bairro", "45000085", "239", "Vitoria da Conquista"
"10000020086",  "patricia.gomes@example.com",  "Patricia Gomes", "BA", "Rua Aleatoria", "Bairro", "45000086", "888", "Vitoria da Conquista"
"10000020087",  "beatriz.gomes@example.com",  "Beatriz Gomes", "BA", "Rua Aleatoria", "Bairro", "45000087", "104", "Vitoria da Conquista"
"10000020088",  "renata.araujo@example.com",  "Renata Araujo", "BA", "Rua Aleatoria", "Bairro", "45000088", "390", "Vitoria da Conquista"
"10000020089",  "gabriel.lima@example.com",  "Gabriel Lima", "BA", "Rua Aleatoria", "Bairro", "45000089", "285", "Vitoria da Conquista"
"10000020090",  "patricia.souza@example.com",  "Patricia Souza", "BA", "Rua Aleatoria", "Bairro", "45000090", "465", "Vitoria da Conquista"
"10000020091",  "mateus.araujo@example.com",  "Mateus Araujo", "BA", "Rua Aleatoria", "Bairro", "45000091", "651", "Vitoria da Conquista"
"10000020092",  "mateus.pinto@example.com",  "Mateus Pinto", "BA", "Rua Aleatoria", "Bairro", "45000092", "855", "Vitoria da Conquista"
"10000020093",  "joao.nunes@example.com",  "Joao Nunes", "BA", "Rua Aleatoria", "Bairro", "45000093", "374", "Vitoria da Conquista"
"10000020094",  "larissa.silva@example.com",  "Larissa Silva", "BA", "Rua Aleatoria", "Bairro", "45000094", "167", "Vitoria da Conquista"
"10000020095",  "beatriz.nunes@example.com",  "Beatriz Nunes", "BA", "Rua Aleatoria", "Bairro", "45000095", "380", "Vitoria da Conquista"
"10000020096",  "jose.costa@example.com",  "Jose Costa", "BA", "Rua Aleatoria", "Bairro", "45000096", "364", "Vitoria da Conquista"
"10000020097",  "mateus.carvalho@example.com",  "Mateus Carvalho", "BA", "Rua Aleatoria", "Bairro", "45000097", "215", "Vitoria da Conquista"
"10000020098",  "marcos.almeida@example.com",  "Marcos Almeida", "BA", "Rua Aleatoria", "Bairro", "45000098", "687", "Vitoria da Conquista"
"10000020099",  "rafael.lima@example.com",  "Rafael Lima", "BA", "Rua Aleatoria", "Bairro", "45000099", "274", "Vitoria da Conquista"
"10000020100",  "rafael.almeida@example.com",  "Rafael Almeida", "BA", "Rua Aleatoria", "Bairro", "45000100", "719", "Vitoria da Conquista"
"10000020101",  "andre.lima@example.com",  "Andre Lima", "BA", "Rua Aleatoria", "Bairro", "45000101", "960", "Vitoria da Conquista"
"10000020102",  "jose.pereira@example.com",  "Jose Pereira", "BA", "Rua Aleatoria", "Bairro", "45000102", "700", "Vitoria da Conquista"
"10000020103",  "marcio.pereira@example.com",  "Marcio Pereira", "BA", "Rua Aleatoria", "Bairro", "45000103", "664", "Vitoria da Conquista"
"10000020104",  "jose.souza@example.com",  "Jose Souza", "BA", "Rua Aleatoria", "Bairro", "45000104", "74", "Vitoria da Conquista"
"10000020105",  "gustavo.gomes@example.com",  "Gustavo Gomes", "BA", "Rua Aleatoria", "Bairro", "45000105", "624", "Vitoria da Conquista"
"10000020106",  "marina.santos@example.com",  "Marina Santos", "BA", "Rua Aleatoria", "Bairro", "45000106", "651", "Vitoria da Conquista"
"10000020107",  "bruno.lopes@example.com",  "Bruno Lopes", "BA", "Rua Aleatoria", "Bairro", "45000107", "176", "Vitoria da Conquista"
"10000020108",  "felipe.pinto@example.com",  "Felipe Pinto", "BA", "Rua Aleatoria", "Bairro", "45000108", "547", "Vitoria da Conquista"
"10000020109",  "rafael.oliveira@example.com",  "Rafael Oliveira", "BA", "Rua Aleatoria", "Bairro", "45000109", "747", "Vitoria da Conquista"
"10000020110",  "rafael.carvalho@example.com",  "Rafael Carvalho", "BA", "Rua Aleatoria", "Bairro", "45000110", "251", "Vitoria da Conquista"
"10000020111",  "paula.gomes@example.com",  "Paula Gomes", "BA", "Rua Aleatoria", "Bairro", "45000111", "168", "Vitoria da Conquista"
"10000020112",  "marcelo.moura@example.com",  "Marcelo Moura", "BA", "Rua Aleatoria", "Bairro", "45000112", "474", "Vitoria da Conquista"
"10000020113",  "patricia.costa@example.com",  "Patricia Costa", "BA", "Rua Aleatoria", "Bairro", "45000113", "389", "Vitoria da Conquista"
"10000020114",  "bruna.oliveira@example.com",  "Bruna Oliveira", "BA", "Rua Aleatoria", "Bairro", "45000114", "277", "Vitoria da Conquista"
"10000020115",  "rafael.lopes@example.com",  "Rafael Lopes", "BA", "Rua Aleatoria", "Bairro", "45000115", "948", "Vitoria da Conquista"
"10000020116",  "gustavo.oliveira@example.com",  "Gustavo Oliveira", "BA", "Rua Aleatoria", "Bairro", "45000116", "656", "Vitoria da Conquista"
"10000020117",  "rafael.ribeiro@example.com",  "Rafael Ribeiro", "BA", "Rua Aleatoria", "Bairro", "45000117", "705", "Vitoria da Conquista"
"10000020118",  "thiago.ferreira@example.com",  "Thiago Ferreira", "BA", "Rua Aleatoria", "Bairro", "45000118", "571", "Vitoria da Conquista"
"10000020119",  "thiago.carvalho@example.com",  "Thiago Carvalho", "BA", "Rua Aleatoria", "Bairro", "45000119", "225", "Vitoria da Conquista"
"10000020120",  "isabela.pinto@example.com",  "Isabela Pinto", "BA", "Rua Aleatoria", "Bairro", "45000120", "702", "Vitoria da Conquista"
"10000020121",  "camila.pinto@example.com",  "Camila Pinto", "BA", "Rua Aleatoria", "Bairro", "45000121", "333", "Vitoria da Conquista"
"10000020122",  "lucas.araujo@example.com",  "Lucas Araujo", "BA", "Rua Aleatoria", "Bairro", "45000122", "864", "Vitoria da Conquista"
"10000020123",  "sofia.moura@example.com",  "Sofia Moura", "BA", "Rua Aleatoria", "Bairro", "45000123", "787", "Vitoria da Conquista"
"10000020124",  "mariana.araujo@example.com",  "Mariana Araujo", "BA", "Rua Aleatoria", "Bairro", "45000124", "795", "Vitoria da Conquista"
"10000020125",  "sofia.souza@example.com",  "Sofia Souza", "BA", "Rua Aleatoria", "Bairro", "45000125", "58", "Vitoria da Conquista"
"10000020126",  "marcio.pereira@example.com",  "Marcio Pereira", "BA", "Rua Aleatoria", "Bairro", "45000126", "235", "Vitoria da Conquista"
"10000020127",  "renata.araujo@example.com",  "Renata Araujo", "BA", "Rua Aleatoria", "Bairro", "45000127", "842", "Vitoria da Conquista"
"10000020128",  "jose.souza@example.com",  "Jose Souza", "BA", "Rua Aleatoria", "Bairro", "45000128", "33", "Vitoria da Conquista"
"10000020129",  "ana.araujo@example.com",  "Ana Araujo", "BA", "Rua Aleatoria", "Bairro", "45000129", "825", "Vitoria da Conquista"
"10000020130",  "renata.moura@example.com",  "Renata Moura", "BA", "Rua Aleatoria", "Bairro", "45000130", "324", "Vitoria da Conquista"
"10000020131",  "larissa.araujo@example.com",  "Larissa Araujo", "BA", "Rua Aleatoria", "Bairro", "45000131", "411", "Vitoria da Conquista"
"10000020132",  "gabriel.nunes@example.com",  "Gabriel Nunes", "BA", "Rua Aleatoria", "Bairro", "45000132", "275", "Vitoria da Conquista"
"10000020133",  "camila.rocha@example.com",  "Camila Rocha", "BA", "Rua Aleatoria", "Bairro", "45000133", "68", "Vitoria da Conquista"
"10000020134",  "felipe.souza@example.com",  "Felipe Souza", "BA", "Rua Aleatoria", "Bairro", "45000134", "217", "Vitoria da Conquista"
"10000020135",  "marcio.ribeiro@example.com",  "Marcio Ribeiro", "BA", "Rua Aleatoria", "Bairro", "45000135", "936", "Vitoria da Conquista"
"10000020136",  "thiago.lopes@example.com",  "Thiago Lopes", "BA", "Rua Aleatoria", "Bairro", "45000136", "966", "Vitoria da Conquista"
"10000020137",  "ana.costa@example.com",  "Ana Costa", "BA", "Rua Aleatoria", "Bairro", "45000137", "581", "Vitoria da Conquista"
"10000020138",  "gustavo.mendes@example.com",  "Gustavo Mendes", "BA", "Rua Aleatoria", "Bairro", "45000138", "898", "Vitoria da Conquista"
"10000020139",  "gustavo.nunes@example.com",  "Gustavo Nunes", "BA", "Rua Aleatoria", "Bairro", "45000139", "736", "Vitoria da Conquista"
"10000020140",  "marcelo.silva@example.com",  "Marcelo Silva", "BA", "Rua Aleatoria", "Bairro", "45000140", "323", "Vitoria da Conquista"
"10000020141",  "felipe.santos@example.com",  "Felipe Santos", "BA", "Rua Aleatoria", "Bairro", "45000141", "218", "Vitoria da Conquista"
"10000020142",  "carlos.santos@example.com",  "Carlos Santos", "BA", "Rua Aleatoria", "Bairro", "45000142", "672", "Vitoria da Conquista"
"10000020143",  "patricia.lopes@example.com",  "Patricia Lopes", "BA", "Rua Aleatoria", "Bairro", "45000143", "512", "Vitoria da Conquista"
"10000020144",  "thiago.pinto@example.com",  "Thiago Pinto", "BA", "Rua Aleatoria", "Bairro", "45000144", "406", "Vitoria da Conquista"
"10000020145",  "marcio.silva@example.com",  "Marcio Silva", "BA", "Rua Aleatoria", "Bairro", "45000145", "906", "Vitoria da Conquista"
"10000020146",  "marcos.lima@example.com",  "Marcos Lima", "BA", "Rua Aleatoria", "Bairro", "45000146", "937", "Vitoria da Conquista"
"10000020147",  "mariana.barros@example.com",  "Mariana Barros", "BA", "Rua Aleatoria", "Bairro", "45000147", "659", "Vitoria da Conquista"
"10000020148",  "rafael.barros@example.com",  "Rafael Barros", "BA", "Rua Aleatoria", "Bairro", "45000148", "470", "Vitoria da Conquista"
"10000020149",  "rafael.moura@example.com",  "Rafael Moura", "BA", "Rua Aleatoria", "Bairro", "45000149", "147", "Vitoria da Conquista"
"10000020150",  "marina.silva@example.com",  "Marina Silva", "BA", "Rua Aleatoria", "Bairro", "45000150", "272", "Vitoria da Conquista"
"10000020151",  "eduardo.oliveira@example.com",  "Eduardo Oliveira", "BA", "Rua Aleatoria", "Bairro", "45000151", "143", "Vitoria da Conquista"
"10000020152",  "paula.santos@example.com",  "Paula Santos", "BA", "Rua Aleatoria", "Bairro", "45000152", "253", "Vitoria da Conquista"
"10000020153",  "eduardo.barros@example.com",  "Eduardo Barros", "BA", "Rua Aleatoria", "Bairro", "45000153", "763", "Vitoria da Conquista"
"10000020154",  "jose.silva@example.com",  "Jose Silva", "BA", "Rua Aleatoria", "Bairro", "45000154", "575", "Vitoria da Conquista"
"10000020155",  "marcos.gomes@example.com",  "Marcos Gomes", "BA", "Rua Aleatoria", "Bairro", "45000155", "552", "Vitoria da Conquista"
"10000020156",  "felipe.carvalho@example.com",  "Felipe Carvalho", "BA", "Rua Aleatoria", "Bairro", "45000156", "270", "Vitoria da Conquista"
"10000020157",  "felipe.mendes@example.com",  "Felipe Mendes", "BA", "Rua Aleatoria", "Bairro", "45000157", "765", "Vitoria da Conquista"
"10000020158",  "patricia.souza@example.com",  "Patricia Souza", "BA", "Rua Aleatoria", "Bairro", "45000158", "599", "Vitoria da Conquista"
"10000020159",  "jose.lima@example.com",  "Jose Lima", "BA", "Rua Aleatoria", "Bairro", "45000159", "439", "Vitoria da Conquista"
"10000020160",  "mateus.souza@example.com",  "Mateus Souza", "BA", "Rua Aleatoria", "Bairro", "45000160", "920", "Vitoria da Conquista"
"10000020161",  "daniela.barros@example.com",  "Daniela Barros", "BA", "Rua Aleatoria", "Bairro", "45000161", "598", "Vitoria da Conquista"
"10000020162",  "isabela.oliveira@example.com",  "Isabela Oliveira", "BA", "Rua Aleatoria", "Bairro", "45000162", "409", "Vitoria da Conquista"
"10000020163",  "marcos.almeida@example.com",  "Marcos Almeida", "BA", "Rua Aleatoria", "Bairro", "45000163", "371", "Vitoria da Conquista"
"10000020164",  "patricia.lima@example.com",  "Patricia Lima", "BA", "Rua Aleatoria", "Bairro", "45000164", "225", "Vitoria da Conquista"
"10000020165",  "daniela.oliveira@example.com",  "Daniela Oliveira", "BA", "Rua Aleatoria", "Bairro", "45000165", "142", "Vitoria da Conquista"
"10000020166",  "marcos.moura@example.com",  "Marcos Moura", "BA", "Rua Aleatoria", "Bairro", "45000166", "522", "Vitoria da Conquista"
"10000020167",  "renata.ribeiro@example.com",  "Renata Ribeiro", "BA", "Rua Aleatoria", "Bairro", "45000167", "506", "Vitoria da Conquista"
"10000020168",  "isabela.nunes@example.com",  "Isabela Nunes", "BA", "Rua Aleatoria", "Bairro", "45000168", "94", "Vitoria da Conquista"
"10000020169",  "marina.lima@example.com",  "Marina Lima", "BA", "Rua Aleatoria", "Bairro", "45000169", "774", "Vitoria da Conquista"
"10000020170",  "ana.araujo@example.com",  "Ana Araujo", "BA", "Rua Aleatoria", "Bairro", "45000170", "49", "Vitoria da Conquista"
"10000020171",  "ana.lima@example.com",  "Ana Lima", "BA", "Rua Aleatoria", "Bairro", "45000171", "882", "Vitoria da Conquista"
"10000020172",  "lucas.carvalho@example.com",  "Lucas Carvalho", "BA", "Rua Aleatoria", "Bairro", "45000172", "113", "Vitoria da Conquista"
"10000020173",  "bruna.moura@example.com",  "Bruna Moura", "BA", "Rua Aleatoria", "Bairro", "45000173", "157", "Vitoria da Conquista"
"10000020174",  "patricia.mendes@example.com",  "Patricia Mendes", "BA", "Rua Aleatoria", "Bairro", "45000174", "643", "Vitoria da Conquista"
"10000020175",  "carlos.pereira@example.com",  "Carlos Pereira", "BA", "Rua Aleatoria", "Bairro", "45000175", "164", "Vitoria da Conquista"
"10000020176",  "marcos.rocha@example.com",  "Marcos Rocha", "BA", "Rua Aleatoria", "Bairro", "45000176", "812", "Vitoria da Conquista"
"10000020177",  "sofia.ribeiro@example.com",  "Sofia Ribeiro", "BA", "Rua Aleatoria", "Bairro", "45000177", "697", "Vitoria da Conquista"
"10000020178",  "sofia.barros@example.com",  "Sofia Barros", "BA", "Rua Aleatoria", "Bairro", "45000178", "433", "Vitoria da Conquista"
"10000020179",  "marcos.ribeiro@example.com",  "Marcos Ribeiro", "BA", "Rua Aleatoria", "Bairro", "45000179", "611", "Vitoria da Conquista"
"10000020180",  "bruno.mendes@example.com",  "Bruno Mendes", "BA", "Rua Aleatoria", "Bairro", "45000180", "66", "Vitoria da Conquista"
"10000020181",  "mateus.barros@example.com",  "Mateus Barros", "BA", "Rua Aleatoria", "Bairro", "45000181", "395", "Vitoria da Conquista"
"10000020182",  "daniela.moura@example.com",  "Daniela Moura", "BA", "Rua Aleatoria", "Bairro", "45000182", "391", "Vitoria da Conquista"
"10000020183",  "ana.barros@example.com",  "Ana Barros", "BA", "Rua Aleatoria", "Bairro", "45000183", "611", "Vitoria da Conquista"
"10000020184",  "beatriz.pereira@example.com",  "Beatriz Pereira", "BA", "Rua Aleatoria", "Bairro", "45000184", "480", "Vitoria da Conquista"
"10000020185",  "paula.moura@example.com",  "Paula Moura", "BA", "Rua Aleatoria", "Bairro", "45000185", "542", "Vitoria da Conquista"
"10000020186",  "gabriel.lima@example.com",  "Gabriel Lima", "BA", "Rua Aleatoria", "Bairro", "45000186", "258", "Vitoria da Conquista"
